Death Daily Trends - United States,,
Date generated: Mon Nov 09 2020 14:44:17 GMT+0800,,
,,
Date,New Deaths,7-Day Moving Avg
Nov 7 2020,1072,938
Nov 6 2020,1211,909
Nov 5 2020,1135,880
Nov 4 2020,1141,869
Nov 3 2020,1095,857
Nov 2 2020,510,829
Nov 1 2020,405,826
Oct 31 2020,869,822
Oct 30 2020,1009,816
Oct 29 2020,1055,807
Oct 28 2020,1060,801
Oct 27 2020,901,803
Oct 26 2020,483,797
Oct 25 2020,380,802
Oct 24 2020,828,815
Oct 23 2020,946,782
Oct 22 2020,1009,790
Oct 21 2020,1076,773
Oct 20 2020,863,738
Oct 19 2020,513,721
Oct 18 2020,475,696
Oct 17 2020,593,699
Oct 16 2020,1001,697
Oct 15 2020,892,686
Oct 14 2020,831,699
Oct 13 2020,748,708
Oct 12 2020,338,698
Oct 11 2020,494,701
Oct 10 2020,577,684
Oct 9 2020,926,702
Oct 8 2020,979,687
Oct 7 2020,900,675
Oct 6 2020,672,694
Oct 5 2020,361,708
Oct 4 2020,378,695
Oct 3 2020,703,684
Oct 2 2020,816,705
Oct 1 2020,900,710
Sep 30 2020,1030,713
Sep 29 2020,774,728
Sep 28 2020,270,733
Sep 27 2020,295,757
Sep 26 2020,853,755
Sep 25 2020,851,728
Sep 24 2020,918,744
Sep 23 2020,1136,732
Sep 22 2020,813,746
Sep 21 2020,438,767
Sep 20 2020,281,759
Sep 19 2020,664,792
Sep 18 2020,963,813
Sep 17 2020,832,823
Sep 16 2020,1231,860
Sep 15 2020,961,843
Sep 14 2020,387,772
Sep 13 2020,510,741
Sep 12 2020,807,734
Sep 11 2020,1035,747
Sep 10 2020,1091,740
Sep 9 2020,1115,738
Sep 8 2020,459,723
Sep 7 2020,175,805
Sep 6 2020,462,841
Sep 5 2020,892,843
Sep 4 2020,986,859
Sep 3 2020,1081,858
Sep 2 2020,1009,870
Sep 1 2020,1033,903
Aug 31 2020,428,919
Aug 30 2020,473,914
Aug 29 2020,1006,928
Aug 28 2020,978,928
Aug 27 2020,1167,953
Aug 26 2020,1239,940
Aug 25 2020,1142,963
Aug 24 2020,394,968
Aug 23 2020,572,981
Aug 22 2020,1006,993
Aug 21 2020,1155,1014
Aug 20 2020,1074,1024
Aug 19 2020,1404,1038
Aug 18 2020,1172,1051
Aug 17 2020,490,1061
Aug 16 2020,654,1072
Aug 15 2020,1150,1058
Aug 14 2020,1229,1046
Aug 13 2020,1169,1062
Aug 12 2020,1497,1073
Aug 11 2020,1244,1048
Aug 10 2020,565,1029
Aug 9 2020,558,1053
Aug 8 2020,1064,1040
Aug 7 2020,1340,1050
Aug 6 2020,1249,1054
Aug 5 2020,1320,1049
Aug 4 2020,1107,1063
Aug 3 2020,733,1076
Aug 2 2020,469,1132
Aug 1 2020,1132,1145
Jul 31 2020,1371,1122
Jul 30 2020,1216,1090
Jul 29 2020,1417,1075
Jul 28 2020,1194,1027
Jul 27 2020,1126,1006
Jul 26 2020,564,912
Jul 25 2020,969,903
Jul 24 2020,1145,890
Jul 23 2020,1113,857
Jul 22 2020,1078,831
Jul 21 2020,1047,812
Jul 20 2020,473,773
Jul 19 2020,498,753
Jul 18 2020,877,752
Jul 17 2020,918,730
Jul 16 2020,926,715
Jul 15 2020,947,697
Jul 14 2020,773,703
Jul 13 2020,334,726
Jul 12 2020,492,724
Jul 11 2020,726,688
Jul 10 2020,811,623
Jul 9 2020,799,608
